State,Rule Type,Action Type,Description,Status,Effective Date,Link Text,URL,Hyperlink,Links,Notes,Entry Last Updated
Kentucky,Legislation,Environment,Bill would require the Energy and Environment Cabinet to promulgate regulations establishing maximum PFAS chemical limits and monitoring requirements for public drinking water and maximum PFAS limits and monitoring requirements for discharges.,Pending,,Bill,https://apps.legislature.ky.gov/record/22RS/hb338.html,Bill,"<a href=""https://apps.legislature.ky.gov/record/22RS/hb338.html"" target=""_blank"" rel=""noopener"">Bill</a>",HB 338,3/15/2022
Kentucky,Legislation,Product,Prefiled bill for the 2022 session would address PFAS in packaging waste.,Pending,,Prefiled bill,https://apps.legislature.ky.gov/record/22RS/prefiled/BR495.html,Prefiled bill,"<a href=""https://apps.legislature.ky.gov/record/22RS/prefiled/BR495.html"" target=""_blank"" rel=""noopener"">Prefiled bill</a>",Bill Request 495,12/21/2021
Kentucky,Legislation,Product,Restrictions on use of firefighting foams that contain PFAS chemicals in training or testing.,In effect,7/15/2020,Law,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=48723,Law,"<a href=""https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=48723"" target=""_blank"" rel=""noopener"">Law</a>",,2/19/2021
Louisiana,Legislation,Product,"Law prohibits the use of PFAS-containing Class B firefighting foam outside of fire prevention or an emergency fire fighting operation. The manufacture, sale, and distribution of PFAS-containing firefighting foam is still permitted.",In effect,1/1/2022,Law,http://www.legis.la.gov/Legis/BillInfo.aspx?s=21RS&b=HB389&sbi=y,Law,"<a href=""http://www.legis.la.gov/Legis/BillInfo.aspx?s=21RS&b=HB389&sbi=y"" target=""_blank"" rel=""noopener"">Law</a>","HB 389; Signed into law on June 11, 2021",3/8/2022
Maine,Legislation,Product,Bill would exempt certain businesses from a state law requiring testing products for PFAS and it would exempt testing of products where inclusion of PFAS is federally mandated.,Pending,,Bill,https://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0510&snum=131,Bill,"<a href=""https://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0510&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>","SP 510 / LD 1273; Bill was reported as ""Ought Not to Pass"" out of committee on May 18, 2023, and is no longer active.",5/22/2023
Maine,Legislation,Environment,"Bill would make adjustments to existing PFAS laws by changing the definitions of PFAS and ""intentionally added PFAS."" It would also delay required notification of PFAS in products from 2024 to 2025, as well as repeal part of a law going into effect in 2030 that bans unnecessary PFAS from inclusion in consumer goods.",Pending,,Bill,https://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0495&snum=131,Bill,"<a href=""https://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0495&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>","SP 495 / LD 1214; Bill was reported as ""Ought Not to Pass"" out of committee on May 18, 2023, and is no longer active.",5/22/2023
Maine,Legislation,Environment and Health,This resolve would task the Commission to Study the Role of Water as a Resource with developing findings and recommendations for protecting public and private drinking water sources from PFAS substances.,Pending,,Bill,https://legislature.maine.gov/bills/getPDF.asp?paper=HP1051&item=1&snum=131,Bill,"<a href=""https://legislature.maine.gov/bills/getPDF.asp?paper=HP1051&item=1&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",HP 1051,5/2/2023
Maine,Legislation,Environment,"The bill would, among other things, amend the Maine Metallic Mineral Mining Act to prohibit the Department of Environmental Protection from issuing mining permits to operations that will release PFAS substances.",Pending,,Bill,https://legislature.maine.gov/bills/getPDF.asp?paper=SP0590&item=1&snum=131,Bill,"<a href=""https://legislature.maine.gov/bills/getPDF.asp?paper=SP0590&item=1&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",SP 590 / LD 1471,4/25/2023
Maine,Legislation,Environment,The bill would require manufacturers of products containing intentionally added PFAS to submit written notifications that include the purpose of the PFAS and the amount in the product.,Pending,,Bill,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0610&item=1&snum=131,Bill,"<a href=""https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0610&item=1&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",SP 610 / LD 1537,4/25/2023
Maine,Legislation,Environment,"The bill would, among other things, establish additional competitive solicitation for renewable energy credits for entites located on agricultural land contaminated by perfluoroalkyl and polyfluoroalkyl substances that may no longer be used for agricultural purposes.",Pending,,Bill,https://legislature.maine.gov/bills/getPDF.asp?paper=SP0622&item=1&snum=131,Bill,"<a href=""https://legislature.maine.gov/bills/getPDF.asp?paper=SP0622&item=1&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",SP 622 / LD 1591,4/25/2023
Maine,Legislation,Health and Safety,Bill would require landlords to perform and disclose the results of well water PFAS test.,Pending,,Bill,https://legislature.maine.gov/bills/getPDF.asp?paper=HP0943&item=1&snum=131,Bill,"<a href=""https://legislature.maine.gov/bills/getPDF.asp?paper=HP0943&item=1&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",HP 943,4/25/2023
Maine,Proposed Action,Environment,"Proposed rule would, among other things, require manufacturers of products containing intentionally added PFAS to submit specific notifications to the Department of Environmental Protection and would prohibit the sale of certain products containing intentionally added PFAS.",Pending,,Proposed Rule,https://www.maine.gov/dep/bep/2023/01-19-23/Chapter%2090%20Draft.pdf,Proposed Rule,"<a href=""https://www.maine.gov/dep/bep/2023/01-19-23/Chapter%2090%20Draft.pdf"" target=""_blank"" rel=""noopener"">Proposed Rule</a>",,4/25/2023
Maine,Legislation,Environment,"Provides funding of $100,000 for 2023-24 and $100,000 for 2024-25 for the Maine Solid Waste Management Fund to address and mitigate PFAS substances and contaminants, and provides funding of $98,984 for 2023-24 and $104,051 for 2024-25 for Environmental Specialist III position for PFAS response and lead in drinking water.",In effect,3/31/2023,Law,https://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0257&item=18&snum=131,Law,"<a href=""https://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0257&item=18&snum=131"" target=""_blank"" rel=""noopener"">Law</a>","HP 257 / LD 424; Signed into law on March 31, 2023",4/6/2023
Maine,Legislation,Product,"Supplemental appropriations act provides a one-time $115,000 allocation to the Division of Forest Protection to replace firefighter gear known to have PFAS.",In effect,2/21/2023,Law,https://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0127&snum=131,Law,"<a href=""https://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0127&snum=131"" target=""_blank"" rel=""noopener"">Law</a>","HP 127 / LD 206; Signed into law on Feb. 21, 2023",3/21/2023
Maine,Legislation,Environment,Bill would establish a program for low-income residents to have their private wells tested for PFAS and provide grants for water treatment systems to eligible residents when PFAS are present above state standards.,Pending,,Bill,https://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0642&snum=131,Bill,"<a href=""https://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0642&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",HP 642 / LD 1006,3/21/2023
Maine,Legislation,Product,Bill would require bottled water companies that extract water in the state to monitor for PFAS and include PFAS information on the label of bottled water.,Pending,,Bill,https://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0796&snum=131,Bill,"<a href=""https://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0796&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",HP 796 / LD 1248,3/21/2023
Maine,Legislation,Other,"Draft bill would create a program to assist farmers affected by PFAS contamination by remediating contamination, including by growing alternative crops.",Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0383&snum=131,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0383&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",HP 383 / LD 606,2/14/2023
Maine,Legislation,Product,Bill would require bottled water companies that extract water in the state to monitor for PFAS and implement treatment if PFAS is detected at or above applicable standards.,Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0045&snum=131,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0045&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",SP 45 / LD 73,2/10/2023
Maine,Legislation,Environment,Bill would set maximum contaminant levels (MCLs) for six types of PFAS at zero nanograms per liter.,Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0047&snum=131,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0047&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",SP 47 / LD 75,2/10/2023
Maine,Legislation,Health and Safety,Bill would require health insurance carriers to provide coverage to test blood for the presence of PFAS.,Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0071&snum=131,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0071&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",SP 71 / LD 132,2/10/2023
Maine,Legislation,Environment,"Bill would change regulators' ability to create PFAS-related rules so that new rules are considered ""major substantive rules"" subject to provisional adoption by the legislature rather than ""routine technical rules"" that are finalized at the end of the rulemaking process.",Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0112&snum=131,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0112&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",HP 112 / LD 171,2/9/2023
Maine,Legislation,Environment,"Draft bill would revise the definition of PFAS to align with federal law, require downstream notification and allow for a safe harbor, implement a process for banning harmful chemicals that include exemptions for de minimis concentrations and replacement parts, require the consideration of limiting access to areas contaminated by PFAS and prohibit certain bulk chemicals, components and parts containing PFAS.",Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0110&snum=131,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0110&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",HP 110 / LD 169,2/9/2023
Maine,Legislation,Environment,"Bill would amend waste discharge licensing laws so that when that Department of Environmental Protection requires wastewater sampling and PFAS testing, the department covers the costs.",Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0092&snum=131,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0092&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",SP 92 / LD 188,2/9/2023
Maine,Legislation,Product,Draft bill will include language to require the development and implementation of a program to support manufacturers whose products contain PFAS.,Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0138&snum=131,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0138&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",HP 138 / LD 217,2/2/2023
Maine,Legislation,Environment,"Bill would require the state to offer to purchase land on commercial farms that were contaminated with PFAS prior to Jan. 1, 2023.",Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0187&snum=131,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0187&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",HP 187 / LD 289,2/1/2023
Maine,Legislation,Unknown,Bill introduced relating to PFAS that doesn't include any details because the draft language is still being worked on.,Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0175&snum=131,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0175&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",HP 175 / LD 277,2/1/2023
Maine,Legislation,Environment,Draft bill will include language to establish statewide PFAS testing standards and set acceptable levels for PFAS. Full text is not yet available.,Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0202&snum=131,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0202&snum=131"" target=""_blank"" rel=""noopener"">Bill</a>",HP 202 / LD 304,2/1/2023
Maine,Legislation,Environment,Supplemental appropriations act contains several PFAS expenditures.,In effect,4/20/2022,Law,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1482&snum=130,Law,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1482&snum=130"" target=""_blank"" rel=""noopener"">Law</a>",HP 1482 / LD 1995,6/1/2022
Maine,Legislation,Environment,Law requires screening for PFAS in sludge or sludge-derived compost that is applied to land.,In effect,4/20/2022,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1417&snum=130,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1417&snum=130"" target=""_blank"" rel=""noopener"">Bill</a>",HP 1417 / LD 1911,6/1/2022
Maine,Binding,Product,Rulemaking to implement HP 185 requires disclosure of PFAS in pesticides.,In effect,5/16/2022,Notice,https://www.maine.gov/sos/cec/rules/notices/2022/051822.html,Notice,"<a href=""https://www.maine.gov/sos/cec/rules/notices/2022/051822.html"" target=""_blank"" rel=""noopener"">Notice</a>",Adopted rule number 2022-085,5/31/2022
Maine,Legislation,Product,Amends ban on PFAS in firefighting foam to exempt marine defense applications or uses required by U.S. Department of Defense. Also adds new requirement for manufacturers to supply certification that their foam doesn't contain PFAS or is exempt from PFAS prohibition.,In effect,4/7/2022,Law,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1502&snum=130,Law,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1502&snum=130"" target=""_blank"" rel=""noopener"">Law</a>","HP 1502; Signed by governor on April 7, 2022.",4/8/2022
Maine,Legislation,Product,Bill would ban the distribution of pesticides containing PFAS.,Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1501&snum=130,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1501&snum=130"" target=""_blank"" rel=""noopener"">Bill</a>",HP 1501,4/8/2022
Maine,Legislation,Environment,Bill would establish a $100 million fund to assist people whose agricultural land was contaminated by PFAS.,Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0729&snum=130,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0729&snum=130"" target=""_blank"" rel=""noopener"">Bill</a>",SP 729,3/8/2022
Maine,Legislation,Product,"Law requires manufactuers to provide notification if any personal, residential, commercial, or industrial product contains PFAS. Also prohibits the sale of new rugs or carpets containing PFAS.",In effect,7/15/2021,Law,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080415,Law,"<a href=""http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080415"" target=""_blank"" rel=""noopener"">Law</a>","HP 1113; Passed by the House and Senate on July 2, 2021. Became law without governor's signature on July 15, 2021.",1/7/2022
Maine,Legislation,Environment,Bill would require state-owned solid waste disposal facilities to establish leachate treatment to reduce PFAS.,Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1385&snum=130,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1385&snum=130"" target=""_blank"" rel=""noopener"">Bill</a>",HP 1385,1/7/2022
Maine,Legislation,Product,"Bans the use of PFAS-containing firefighting foam for testing or training purposes unless proper disposal measures are in place. The manufacture and sale of such foam is also prohibited (except at oil terminals where the restriction goes into effect Jan. 1, 2025). Discharges of PFAS-containing foam near water supplies must be reported within 24 hours.",In effect,1/1/2022,Law,http://www.mainelegislature.org/legis/bills/display_ps.asp?ld=1505&PID=1456&snum=130,Law,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?ld=1505&PID=1456&snum=130"" target=""_blank"" rel=""noopener"">Law</a>","HP 1115; Signed into law on July 9, 2021",1/3/2022
Maine,Legislation,Environment,"Establishes fund to test and monitor for presence of PFAS in soil and groundwater. The fund is financed by a new $10 per ton disposal fee on septage, industrial sludge, and other residual. ",In effect,1/1/2022 (disposal fee takes effect),Law,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1189&snum=130,Law,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP1189&snum=130"" target=""_blank"" rel=""noopener"">Law</a>","HP 1189; Passed by the House and Senate on July 2, 2021. Became law without governor's signature on July 15, 2021.",7/21/2021
Maine,Legislation,Environment and Product,Law establishes a statute of limitations on civil actions arising from harm or injury from PFAS.,In effect,10/18/2021,Law,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0261&snum=130,Law,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0261&snum=130"" target=""_blank"" rel=""noopener"">Law</a>","HP 261; Signed into law on June 22, 2021",7/21/2021
Maine,Legislation,Environment,Appropriations measure includes funding to treat drinking water conatminated with PFAS and mitigate PFAS in drinking water at schools and daycares.,In effect,7/19/2021,Bill,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=SP0577&item=16&snum=130,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=SP0577&item=16&snum=130"" target=""_blank"" rel=""noopener"">Bill</a>","SP 577; Signed into law on July 19, 2021",7/21/2021
Maine,Legislation,Environment,"Bill would authorize issuance of a general fund bond that would help pay for hazardous substance cleanup, including at uncontrolled sites polluted with PFAS.",Pending,,Bill,http://www.mainelegislature.org/legis/bills/display_ps.asp?ld=150&PID=1456&snum=130,Bill,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?ld=150&PID=1456&snum=130"" target=""_blank"" rel=""noopener"">Bill</a>","HP 106; In July 2021, the legislature announced the bill would be carried over to the next session.",7/21/2021
Maine,Legislation,Environment,"Appropriations measure includes several allocations for PFAS mitigation, research, and financial assistance.",In effect,7/1/2021,Law,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0156&snum=130,Law,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0156&snum=130"" target=""_blank"" rel=""noopener"">Law</a>","HP 156; Signed into law on July 1, 2021",7/2/2021
Maine,Legislation,Environment,"Law directs regulators to establish maximum contaminant levels for PFAS. The law creates an interim limit of 20 ppt for the presence of six PFAS in drinking water: PFOA, PFOS, PFHxS, PFNA, PFHpA, and PFDA. Monitoring standards are also established.",In effect,12/31/2022 (Interim rule monitoring deadline),Law,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0064&snum=130,Law,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=SP0064&snum=130"" target=""_blank"" rel=""noopener"">Law</a>","SP 64; Final rule establishing MCLs due by June 1, 2024; Bloomberg Law coverage of latest development: https://news.bloomberglaw.com/pfas-project/maine-joins-states-setting-pfas-drinking-water-limits-before-epa",6/24/2021
Maine,Legislation,Environment,"Law requires manufacturer disclosure when registered pesticides contain PFAS. It also directs regulators to study ""if fluorinated adjuvants are being used or sold in the State.""",In effect,10/18/2021,Law,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0185&snum=130,Law,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0185&snum=130"" target=""_blank"" rel=""noopener"">Law</a>","HP 185; Signed into law on June 21, 2021. An initial version of the bill would have banned the aerial application of pesticides.",6/24/2021
Maine,Legislation,Environment,"Law directs state regulators to develop a comprehensive plan to identify and aid farmers affected by PFAS. A final report with findings and recommendations is due to the legislature by Feb. 1, 2022.",In effect,,Law,http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0403&snum=130,Law,"<a href=""http://www.mainelegislature.org/legis/bills/display_ps.asp?paper=HP0403&snum=130"" target=""_blank"" rel=""noopener"">Law</a>","HP 403; Signed into law on June 10, 2021",6/24/2021
Maine,Binding,Product,Requires companies making children's toys containing any of five PFAS substances to alert the state's Department of Environmental Protection.,In effect,7/28/2020,Adopted Rule,https://www.bloomberglaw.com/product/blaw/document/X2SSVHLHOG10HOCEADGG008019D,Adopted Rule,"<a href=""https://www.bloomberglaw.com/product/blaw/document/X2SSVHLHOG10HOCEADGG008019D"" target=""_blank"" rel=""noopener"">Adopted Rule</a>",Bloomberg Law coverage of latest development: https://news.bloomberglaw.com/pfas-project/maine-requires-notice-on-kids-products-made-with-five-pfas,8/6/2020
Maine,Legislation,Product,Amendments to law on toxic materials in packaging gives the state the authority to ban the sale of food packaging contianing PFAS if a safer alternative is available.,In effect,9/19/2019,Law,https://www.bloomberglaw.com/product/blaw/document/X5N4T8L0000000,Law,"<a href=""https://www.bloomberglaw.com/product/blaw/document/X5N4T8L0000000"" target=""_blank"" rel=""noopener"">Law</a>",,5/26/2020
Maine,Binding,Environment,"Requirement to test sludge/biosolids for PFOS, PFOA, and PFBS.",In effect,3/22/2019,Memorandum,https://aboutblaw.com/Q17,Memorandum,"<a href=""https://aboutblaw.com/Q17"" target=""_blank"" rel=""noopener"">Memorandum</a>",,5/26/2020
Maine,Non-binding guidance,Environment,Governor executive order creating a task force to review PFAS contamination. The task force drafted a response plan released in November 2019 with recommendations for testing and product restrictions.,Pending,3/6/2019,News Report,https://news.bloomberglaw.com/environment-and-energy/mandatory-manufacturer-reporting-of-pfas-use-considered-by-maine,News Report,"<a href=""https://news.bloomberglaw.com/environment-and-energy/mandatory-manufacturer-reporting-of-pfas-use-considered-by-maine"" target=""_blank"" rel=""noopener"">News Report</a>",,5/26/2020
Maine,Non-binding guidance,Product,Set action levels for presence of PFOS in milk.,In effect,9/28/2017,State Website,https://www.maine.gov/dacf/ag/pfas/index.shtml,State Website,"<a href=""https://www.maine.gov/dacf/ag/pfas/index.shtml"" target=""_blank"" rel=""noopener"">State Website</a>",,5/26/2020
Maryland,Legislation,Environment,Proposed bill would require PFAS monitoring and reporting at publicly owned treatment facilities.,Pending,,Bill,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/sb0225?ys=2023rs,Bill,"<a href=""https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/sb0225?ys=2023rs"" target=""_blank"" rel=""noopener"">Bill</a>","SB 225 / HB 499; Bill was withdrawn on Feb. 13, 2023",2/14/2023
Maryland,Legislation,Product,Bill would prohibit products or packaging from being considered recylable if they're made with PFAS.,Pending,,Bill,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb0031?ys=2023rs,Bill,"<a href=""https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb0031?ys=2023rs"" target=""_blank"" rel=""noopener"">Bill</a>",HB 31,2/10/2023
Maryland,Legislation,Product,Bill would prohibit mosquito pesticides from being registered in the state unless they pass a test showing levels of PFAS below a certain threshold.,Pending,,Bill,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb0319?ys=2023rs,Bill,"<a href=""https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb0319?ys=2023rs"" target=""_blank"" rel=""noopener"">Bill</a>",HB 319 / SB 158,1/31/2023
Maryland,Legislation,Product,"Law bans the use, manufacture, or sale of Class B firefighting foam; rugs or carpets; and food packaging designed for direct food contact, if any contain intentionally added PFAS. Implements foam containment measures, requires disclosure of foam use, establishes take-back program for firefighting foam, and forbids foam from being incinerated or placed in a landfill. Manufacturers must disclose if firefighter protective equipment contains PFAS.",In effect,7/1/2022 (Bans take effect beginning January 2024),Law,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb0275?ys=2022rs,Law,"<a href=""https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb0275?ys=2022rs"" target=""_blank"" rel=""noopener"">Law</a>","HB 275 / SB 273; Signed into law on April 21, 2022.",8/4/2022
Maryland,Legislation,Product,"Bill would prohibit certain ingredients in cosmetics, including PFOA and PFOS.",Pending,1/1/2025,Law,https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=ghg&section=21-259.2&enactments=false,Law,"<a href=""https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=ghg&section=21-259.2&enactments=false"" target=""_blank"" rel=""noopener"">Law</a>",HB 643; became law without governor's signature.,3/15/2022
Maryland,Legislation,Product,Enacts legislation to prohibit the use of Class B firefighting foam that contain intentionally added PFAS chemicals for certain testing or training purposes.,In effect,10/1/2020,Law,https://govt.westlaw.com/mdc/Browse/Home/Maryland/MarylandCodeCourtRules?guid=NC76AD8B0BB1F11EAA334A2BF8C3EFEF8&originationContext=documenttoc&transitionType=Default&contextData=(sc.Default),Law,"<a href=""https://govt.westlaw.com/mdc/Browse/Home/Maryland/MarylandCodeCourtRules?guid=NC76AD8B0BB1F11EAA334A2BF8C3EFEF8&originationContext=documenttoc&transitionType=Default&contextData=(sc.Default)"" target=""_blank"" rel=""noopener"">Law</a>",,3/15/2022
Maryland,Legislation,Product,Bill would prohibit products or packaging from being considered recylable if they're made with PFAS.,Pending,,Bill,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb0700?ys=2022rs,Bill,"<a href=""https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb0700?ys=2022rs"" target=""_blank"" rel=""noopener"">Bill</a>",HB 700,2/2/2022
Massachusetts,Legislation,Product,Bill would establish a 36-month moratorium on the installation of new artificial turf and artificial grass due in part to PFAS concerns. During that time the public health effects will be studied.,Pending,,Bill,https://malegislature.gov/Bills/193/S524,Bill,"<a href=""https://malegislature.gov/Bills/193/S524"" target=""_blank"" rel=""noopener"">Bill</a>",S 524,3/21/2023
Massachusetts,Legislation,Product,Bill would establish a commission that includes at least one PFAS researcher to study public health effects of artificial turf and artificial grass.,Pending,,Bill,https://malegislature.gov/Bills/193/S523,Bill,"<a href=""https://malegislature.gov/Bills/193/S523"" target=""_blank"" rel=""noopener"">Bill</a>",S 523,3/21/2023
Massachusetts,Legislation,Environment,Bill would establish a moratorium on the procurement of structures or activities generating PFAS emissions until state and federal officials implement PFAS emission standards.,Pending,,Bill,https://malegislature.gov/Bills/193/S2053,Bill,"<a href=""https://malegislature.gov/Bills/193/S2053"" target=""_blank"" rel=""noopener"">Bill</a>",S 2053,3/14/2023
Massachusetts,Legislation,Product,Bill would prohibit the use of pesticides containing PFAS for use in the state's mosquito management program.,Pending,,Bill,https://malegislature.gov/Bills/193/H845,Bill,"<a href=""https://malegislature.gov/Bills/193/H845"" target=""_blank"" rel=""noopener"">Bill</a>",H 845 / S 445,3/14/2023
Massachusetts,Legislation,Environment and Product,Bill would require the Department of Environmental Protection to outline best practices and recommended regulations for proper disposal of products containing PFAS. It would also require a study of PFAS sites and response plan strategies.,Pending,,Bill,https://malegislature.gov/Bills/193/HD389,Bill,"<a href=""https://malegislature.gov/Bills/193/HD389"" target=""_blank"" rel=""noopener"">Bill</a>",H 863,3/14/2023
Massachusetts,Legislation,Environment and Liability,"Bill would indemnify farmers from claims resulting from PFAS in soil, water, or agricultural products as a result of standard agricultural practices. It would also set up a relief fund for farmers suffering loss or costs due to PFAS contamination and waive conveyance taxes for land removed from agricultural or horticultural use due to regulatory action over PFAS. Bill also would require testing biosolids for PFAS and set maximum levels of PFAS for fertilizers and compost.",Pending,,Bill,https://malegislature.gov/Bills/193/HD1171,Bill,"<a href=""https://malegislature.gov/Bills/193/HD1171"" target=""_blank"" rel=""noopener"">Bill</a>",H 101 / S 39,3/14/2023
Massachusetts,Legislation,Product,Bill would require written notice and explanation of PFAS in firefighter gear beginning in 2025. A full ban on PFAS in firefighting gear would go into effect in 2027.,Pending,,Bill,https://malegislature.gov/Bills/193/SD614,Bill,"<a href=""https://malegislature.gov/Bills/193/SD614"" target=""_blank"" rel=""noopener"">Bill</a>",S 1502,3/14/2023
Massachusetts,Legislation,Product,Bill would ban the sale of children's products containing intentionally added PFAS or containing flourine levels above 100 parts per million (ppm).,Pending,,Bill,https://malegislature.gov/Bills/193/SD1473,Bill,"<a href=""https://malegislature.gov/Bills/193/SD1473"" target=""_blank"" rel=""noopener"">Bill</a>",S 175,3/14/2023
